# MINERAL RESOURCES TASMANIA
#
# TASMANIAN GRAVITY DATABASE
#
# GRAVITY DATUM ISOGAL65
#
# BOUGUER AND TERRAIN CORRECTION DENSITY 2.67 TONNES/CUBIC METRE
#
# COORDINATES ARE AGD66, ZONE 55
#
# easting [m], northing [m],  Bouguer Anomaly [milligal]
5.319000000000000000e+05,5.289120000000000000e+06,-2.290000000000000036e+00
5.371000000000000000e+05,5.291000000000000000e+06,1.189999999999999947e+00
5.320000000000000000e+05,5.287900000000000000e+06,-1.570000000000000062e+00
5.328600000000000000e+05,5.287950000000000000e+06,-1.489999999999999991e+00
5.329500000000000000e+05,5.288900000000000000e+06,-2.700000000000000178e-01
5.339500000000000000e+05,5.289230000000000000e+06,-5.999999999999999778e-02
5.350600000000000000e+05,5.290200000000000000e+06,2.240000000000000213e+00
5.380300000000000000e+05,5.291900000000000000e+06,1.300000000000000044e+00
5.390000000000000000e+05,5.293000000000000000e+06,2.379999999999999893e+00
5.388000000000000000e+05,5.292070000000000000e+06,2.919999999999999929e+00
5.400000000000000000e+05,5.292200000000000000e+06,5.870000000000000107e+00
5.388100000000000000e+05,5.291090000000000000e+06,3.959999999999999964e+00
5.368700000000000000e+05,5.290020000000000000e+06,1.810000000000000053e+00
5.370300000000000000e+05,5.289150000000000000e+06,1.620000000000000107e+00
5.371000000000000000e+05,5.288250000000000000e+06,-1.739999999999999991e+00
5.401700000000000000e+05,5.288100000000000000e+06,6.589999999999999858e+00
5.400000000000000000e+05,5.287000000000000000e+06,1.133000000000000007e+01
5.390800000000000000e+05,5.289650000000000000e+06,4.009999999999999787e+00
5.380500000000000000e+05,5.289030000000000000e+06,3.479999999999999982e+00
5.319000000000000000e+05,5.287000000000000000e+06,-2.129999999999999893e+00
5.352500000000000000e+05,5.288900000000000000e+06,8.000000000000000444e-01
5.361500000000000000e+05,5.288860000000000000e+06,1.600000000000000089e+00
5.340000000000000000e+05,5.292000000000000000e+06,-3.300000000000000155e-01
5.339700000000000000e+05,5.293030000000000000e+06,8.199999999999999512e-01
